seller_id,seller_city,seller_state,total_orders,unique_products,total_revenue,avg_price,avg_rating,avg_delivery_days,late_delivery
0bebbb2cea103a4a020c95d43fd7d754,sao paulo,SP,9,9,1367.20,151.91,4.89,5.4,0.00
0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,39,15,5774.60,93.14,3.71,13.6,19.35
0bfd0b434243adc5c2e1aa6baf19c6aa,rio de janeiro,RJ,6,6,371.20,61.87,3.67,8.0,0.00
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,61,29,2989.30,40.95,4.08,10.2,4.11
0c7f30ae9b147eca07affbef92832a6a,ponta grossa,PR,5,4,479.50,95.90,5.00,8.0,0.00
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,182,93,17348.79,78.86,4.03,12.1,5.00
0cab2da43793a6f3c5ed8514c5f54627,curitiba,PR,3,2,309.70,103.23,5.00,4.7,0.00
0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,39,13,5324.15,129.86,3.85,12.9,9.76
0d33a55da925bbf1ff02af5f6059fc7f,sao paulo,SP,22,8,547.30,22.80,4.50,8.4,4.17
0d4c8269e7f0401201794deef160edd6,ribeirao preto,SP,3,4,792.64,198.16,4.00,18.3,0.00
0d83f8e03188682112cc0d93523705cc,porto alegre,RS,4,2,696.26,87.03,2.75,24.9,50.00
0d85bbda9889ce1f7e63778d24f346eb,uberlandia,MG,51,17,4845.20,83.54,4.21,17.8,18.97
0daf5180aa44356f60f8effa533b55a2,goiania,GO,2,2,144.80,72.40,5.00,7.5,50.00
0db783cfcd3b73998abc6e10e59a102f,santos,SP,132,14,9077.40,66.26,4.21,11.2,3.65
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,161,11,18446.92,95.58,3.95,10.8,9.84
0ddefe3c7a032b91f4e25b9c3a08fca1,sao bernardo do campo,SP,9,7,402.90,40.29,4.50,8.3,0.00
0df3984f9dfb3d49ac6366acbd3bbb85,betim,MG,87,25,10021.49,112.60,4.30,9.1,1.12
0dfbed20065e425d2eaefb101f9816c0,porto ferreira,SP,3,2,84.35,28.12,2.67,21.0,33.33
0e44d110fa6a54e121cb2c095a77762f,francisco morato,SP,6,5,223.32,37.22,4.33,11.5,16.67
0e72c1a751b496722a6cb1f10653b62a,sao paulo,SP,3,3,140.80,46.93,4.67,6.3,0.00
0e982cff76cc0579f632cea8a0e38c9d,itajai,SC,7,8,1307.34,108.95,3.25,7.9,0.00
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,237,152,10711.70,39.82,4.32,10.5,1.49
0eaa7e33d73809f1f925f7d07c506cbd,santo andre,SP,15,12,1552.00,103.47,4.71,5.5,0.00
0ebd97a106433a45a4aebe57c1799778,contagem,MG,31,10,3046.80,95.21,4.50,8.8,0.00
0ec28cec4046a4a199b6de9b4c891d97,goiania,GO,3,2,296.60,74.15,5.00,8.8,0.00
0ed6ce5d87fd9c69eaacaeb778d67235,americana,SP,43,26,2141.42,49.80,4.40,15.5,13.95
0ee4fb99ac55ffbbc98795aa01b7f8fa,santana de parnaiba,SP,1,1,59.90,59.90,5.00,6.0,0.00
0ef83d7d83ed97cd2a0049ac8be5f88a,curitiba,PR,48,14,4421.01,80.38,4.24,9.2,1.82
